Name,Price,Total_volume,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Includes,Protein,Vitamin D,Calcium,Iron,Potassium,Added Sugars,Insoluble Fiber,Vitamin C,Polyunsaturated Fat,Monounsaturated Fat,Soluble Fiber,Incoudes,Sugars,Vitamin A,Sugars 0g,Fiber,Inculdes,Calckum,Incudes
Sea Salt Chocolate Chunk Cookies,$1.79,10.58 Oz,210.0,9 g,5.0 g,0 g,25 mg,180 mg,32 g,2 g,20 g,20 g Added Sugars,3 g,0.7 mcg,20 mg,1.3 mg,30 mg,,,,,,,,,,,,,,
Cinnamon Sugar Cashews,$4.99,10 Oz,180.0,12 g,2.0 g,0 g,0 mg,55 mg,11 g,1 g,5 g,4 g Added Sugars,5 g,0.0 mcg,20 mg,1.5 mg,160 mg,,,,,,,,,,,,,,
Sugar Bee® Apples,$4.49,2 Lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limone Premuto Extra Virgin Olive Oil,$7.99,8.45 Fl Oz,120.0,13 g,2.0 g,0 g,0 mg,0 mg,0 g,0 g,0 g,0 g Added Sugars,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,
Dark Chocolate Chips No Sugar Added,$3.99,8 Oz,120.0,11 g,7 g,0 g,0 mg,0 mg,16 g,2 g,0 g,0 g Added Sugars,2 g,0.0 mcg,20 mg,0.3 mg,110 mg,,,,,,,,,,,,,,
Sugar Bee® Apple,$1.29,1 Each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramelized Onion Goat's Milk Cheese,$2.99,4 Oz,70.0,4.5 g,3.0 g,0 g,0 mg,0 mg,5 g,0 g,4 g,,4 g,,,,,3 g Added Sugars,,,,,,,,,,,,,
Eliros Extra Virgin Olive Oil,$14.99,33.8 Fl Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramelized Onion & Bell Pepper Turkey Patties,$5.99,16 Oz,130.0,4.0 g,1.0 g,0 g,80 mg,360 mg,1 g,0 g,0 g,0 g Added Sugars,22 g,0.5 mcg,10 mg,1.5 mg,360 mg,,,,,,,,,,,,,,
Grecian Style Eggplant with Tomatoes & Onions,$2.99,9.9 Oz,140.0,12 g,2.0 g,0 g,less than 1 mg,390 mg,5 g,2 g,4 g,0.3 g Added Sugars,1 g,,,,,,,,,,,,,,,,,,
Vidalia Onions,$2.99,2 Lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calamari Pieces in Olive Oil,$3.99,3.91 Oz,110.0,4.5 g,1.0 g,0 g,195 mg,340 mg,0 g,0 g,0 g,0 g Added Sugars,17 g,0.0 mcg,10 mg,0.2 mg,100 mg,,,,,,,,,,,,,,
Dry Roasted & Salted Almonds,$5.99,1 Lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crunchy Peanut Butter Unsalted,$2.49,16 Oz,190.0,16 g,2.5 g,0 g,0 mg,0 mg,7 g,3 g,2 g,0 g Added Sugars,8 g,0.0 mcg,20 mg,0.5 mg,200 mg,,,,3.5 g,8 g,,,,,,,,,
Creamy Peanut Butter Unsalted,$2.49,16 Oz,190.0,16 g,2.5 g,0 g,0 mg,0 mg,7 g,3 g,2 g,0 g Added Sugars,8 g,0.0 mcg,20 mg,0.5 mg,200 mg,,,,3.5 g,9 g,,,,,,,,,
Brown Butter Salted Caramel Mini Biscotti,$4.99,9 Oz,120.0,4.0 g,2.5 g,0 g,20 mg,95 mg,18 g,0 g,10 g,9 g Added Sugars,2 g,0.1 mcg,20 mg,0.7 mg,30 mg,,,,,,,,,,,,,,
Roasted & Salted Rosemary Marcona Almonds,$5.99,6 Oz,170.0,15 g,1.0 g,0 g,0 mg,190 mg,6 g,4 g,1 g,0 g Added Sugars,6 g,0.0 mcg,80 mg,1.1 mg,210 mg,,,,3.5 g,10 g,,,,,,,,,
World's Puffiest Sour Cream & Onion Corn Puffs,$2.49,7 Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crunchy Peanut Butter Salted,$2.49,16 Oz,190.0,16 g,2.5 g,0 g,0 mg,140 mg,7 g,3 g,2 g,0 g Added Sugars,8 g,0.0 mcg,20 mg,0.5 mg,200 mg,,,,3.0 g,8 g,,,,,,,,,
Sweet & Salty Umami Crunchies Rice Crackers,$2.99,6.35 Oz,150.0,9 g,2.0 g,0 g,0 mg,230 mg,17 g,0 g,3 g,3 g Added Sugars,2 g,0.0 mcg,0 mg,0.0 mg,20 mg,,,,,,,,,,,,,,
Sea Salt Fine Crystals,$1.99,26.5 Oz,0.0,0 g,0 g,0 g,0 mg,590 mg,0 g,0 g,0 g,0 g Added Sugars,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,
